wall_time,sim_time,teleop_active,ros_fresh,position_error_mm,orientation_error_deg,target_linear_speed_mps,target_angular_speed_radps,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_saturated,jacobian_condition,max_q_command_error_rad,deadline_misses
5660.466181588,66.69999999995443,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,28
5660.476224898,66.70999999995448,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,28
5660.486226591,66.71999999995452,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,28
5660.4962025,66.72999999995457,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,31
5660.506324794,66.73999999995462,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,31
5660.51614425,66.74999999995467,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,31
5660.526201926,66.75999999995472,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,34
5660.536382029,66.76999999995476,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,34
5660.546680314,66.77999999995481,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,34
5660.556253682,66.78999999995486,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,34
5660.566156008,66.7999999999549,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,37
5660.576818604,66.80999999995495,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,37
5660.586367199,66.819999999955,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,37
5660.596315946,66.82999999995505,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,41
5660.606352331,66.8399999999551,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,42
5660.616270512,66.84999999995514,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,42
5660.62838696,66.85999999995519,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,43
5660.636884492,66.86999999995524,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,46
5660.646233831,66.87999999995529,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,46
5660.656436488,66.88999999995534,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,46
5660.666934497,66.89999999995538,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,52
5660.676795991,66.90999999995543,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,52
5660.686536152,66.91999999995548,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,52
5660.697997933,66.92999999995553,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,56
5660.706170734,66.93999999995557,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,58
5660.716945582,66.94999999995562,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,58
5660.72661075,66.95999999995567,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,59
5660.736779719,66.96999999995572,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,65
5660.746964662,66.97999999995577,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,65
5660.756838868,66.98999999995581,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,66
5660.767123968,66.99999999995586,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,69
5660.77714209,67.00999999995591,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,70
5660.786915708,67.01999999995596,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,71
5660.797076533,67.029999999956,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,71
5660.806910912,67.03999999995605,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,75
5660.816227648,67.0499999999561,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,75
5660.826190687,67.05999999995615,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,76
5660.836189767,67.0699999999562,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,79
5660.846972297,67.07999999995624,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,79
5660.856621417,67.08999999995629,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,80
5660.868039141,67.09999999995634,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,82
5660.877007458,67.10999999995639,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,84
5660.886747067,67.11999999995643,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,85
5660.896198955,67.12999999995648,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,86
5660.906952621,67.13999999995653,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,89
5660.91662515,67.14999999995658,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,89
5660.926768472,67.15999999995663,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,89
5660.937327902,67.16999999995667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,93
5660.946929276,67.17999999995672,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,94
5660.956875972,67.18999999995677,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,94
5660.966664873,67.19999999995682,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,94
5660.976194166,67.20999999995686,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,98
5660.986248802,67.21999999995691,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,99
5660.996365918,67.22999999995696,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,99
5661.006180957,67.239999999957,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,102
5661.016277544,67.24999999995705,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,102
5661.02620443,67.2599999999571,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,102
5661.038152344,67.26999999995715,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,103
5661.046857319,67.2799999999572,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,105
5661.056441674,67.28999999995725,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,105
5661.066338215,67.2999999999573,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,105
5661.076449438,67.30999999995734,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,109
5661.086283495,67.31999999995739,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,110
5661.096359244,67.32999999995744,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,110
5661.106989681,67.33999999995748,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,113
5661.116181241,67.34999999995753,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,114
5661.126193304,67.35999999995758,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,114
5661.136128383,67.36999999995763,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,114
5661.147007576,67.37999999995768,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,118
5661.156209213,67.38999999995772,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,119
5661.166188226,67.39999999995777,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,119
5661.176284765,67.40999999995782,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,122
5661.186165181,67.41999999995787,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,122
5661.196124692,67.42999999995791,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,122
5661.208910248,67.43999999995796,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,123
5661.216558917,67.44999999995801,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,126
5661.226265334,67.45999999995806,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,126
5661.236183923,67.4699999999581,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,126
5661.246425237,67.47999999995815,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,129
5661.256541024,67.4899999999582,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,0
5661.266561713,67.49999999995825,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,0
5661.277499593,67.5099999999583,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,3
5661.286240962,67.51999999995834,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,4
5661.296236741,67.52999999995839,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,4
5661.306392302,67.53999999995844,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,5
5661.316905312,67.54999999995849,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,10
5661.326265751,67.55999999995853,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,10
5661.336382466,67.56999999995858,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,10
5661.346351029,67.57999999995863,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,13
5661.356771587,67.58999999995868,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,13
5661.366863695,67.59999999995873,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,14
5661.378978805,67.60999999995877,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,15
5661.386889454,67.61999999995882,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,18
5661.396267697,67.62999999995887,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,18
5661.406222393,67.63999999995892,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,19
5661.416241762,67.64999999995896,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,23
5661.42620372,67.65999999995901,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,24
5661.436254466,67.66999999995906,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,24
5661.447015397,67.67999999995911,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,27
5661.456279584,67.68999999995916,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,29
5661.467161363,67.6999999999592,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,29
5661.476329619,67.70999999995925,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,30
